vers.;v5.18;Passivation out of sequence Procedure;;2;mrl;mcc;rdh;time
0:00;MCC;BEGIN SEQUENCE: Prepare Passivation;Prepare Passivation;2;;;;
0:00;MCC/MRL;Recall and make sure BOTH N2O Bottles & He Bottle 2 are still closed! Else continue with Abort Procedure;;2;;;;
0:00;MCC;Inform OPS of Passivation out of sequence;;2;;;;
0:00;MRL;Step Back/Leave MRL;;2;;;;
0:00;EGSE;Confirm all valve switches are in OFF position (Except OxDV & HPDV);;2;;;;
0:00;OBDH;Confirm all valve switches are in OFF position (Except RMOxSV);;2;;;;
0:00;MCC;BEGIN SEQUENCE: Passivation of GSE;Passivation of GSE;2;;;;
0:00;EGSE;Open & Close OxDV STEPWISE until OxOutPT 0 Bar;;2;;;;
0:00;EGSE;Open OxDV;;2;;;;
0:00;EGSE;Open MPV3;;2;;;;
0:00;EGSE;Confirm OxOutPT 0 bar;;2;;;;
0:00;EGSE;Close MPV3;;2;;;;
0:00;EGSE;Open OxV1;;2;;;;
0:00;EGSE;Confirm OxInPT1 & OxOutPT 0 Bar;;2;;;;
0:00;EGSE;Close OxV1;;2;;;;
0:00;EGSE;Open OxV2;;2;;;;
0:00;EGSE;Confirm OxInPT2 & OxOutPT 0 Bar;;2;;;;
0:00;EGSE;Close OxV2;;2;;;;
0:00;EGSE;Close OxDV ;;2;;;;
0:00;EGSE;Open HPDV;;2;;;;
0:00;EGSE;Confirm HPLPT 0 bar;;2;;;;
0:00;EGSE;Open HPV2;;2;;;;
0:00;EGSE;Confirm HPLPT & HPPT2 0 bar;;2;;;;
0:00;EGSE;Close HPV2;;2;;;;
0:00;EGSE;Close HPDV;;2;;;;
0:00;OBDH;Check RHPPT & ROxTPT 1 Bar (If more: continue with Passivation of Rocket, else continue at Finish Passivation);;2;;;;
0:00;MCC;BEGIN:Passivation of Rocket;Passivation of Rocket;2;;;;
0:00;OBDH;Open & Close stepwise RDV until RHPPT & ROxTPT 1 Bar;;2;;;;
0:00;OBDH;Confirm RHPPT & ROxTPT 1 Bar;;2;;;;
0:00;MRL;Go to MRL;;2;;;;
0:00;MRL;Remove HP section maintenance cover;;2;;;;
0:00;MRL;Open RMDV & Step Back, Wait until NCE-Tank is pressureless;;2;;;;
0:00;MCC;BEGIN SEQUENCE: Finish Passivation;Finish Passivation;2;;;;
0:00;MRL;Go to MRL;;2;;;;
0:00;MRL;Close He Bottle 1;;2;;;;
0:00;MCC/MRL;Write down remaining Pressure of He Bottle 1;;2;;;;
0:00;MRL;Step back;;2;;;;
0:00;EGSE;Open HPDV;;2;;;;
0:00;EGSE;Open HPV1;;2;;;;
0:00;EGSE;Confirm HPLPT & HPPT1 0 Bar;;2;;;;
0:00;EGSE;Close HPV1;;2;;;;
0:00;EGSE;Close HPDV;;2;;;;
0:00;EGSE;Pressure Check;;2;;;;
0:00;MRL;Open MBV;;2;;;;
0:00;EGSE/ MRL;Check and compare pressure HPPT1 with HPPG1;;2;;;;
0:00;MRL;Close MBV;;2;;;;
0:00;MRL;Safety is ensured;;2;;;;
0:00;MCC;Confirm to OPS that Safety is ensured;;1;;;;
0:00;MCC;END OF PROCEDURE;End;1;;;;
